onset	duration	trial_type
10.0071747303009	17.9845328330994	speaking
38.0093955993652	17.9844868183136	hearing
66.0115325450897	17.9844439029694	hearing
94.0135917663574	17.9844038486481	hearing
122.015575647354	17.9843661785126	hearing
150.017488479614	17.9843299388885	speaking
178.002667665482	18.000962972641	hearing
206.00445151329	18.0009310245514	speaking
234.006174564362	18.0009002685547	speaking
262.007841825485	17.9842035770416	speaking
290.009455442429	17.9841752052307	hearing
318.011017560959	17.9841499328613	hearing
346.012531518936	17.9841251373291	speaking
374.014000415802	17.9841020107269	speaking
