set	run	event	block	trial	condition	sequence	onset_s
set1	2	pre_fix	0	NaN	BLOCK		0
set1	2	listen	1	1	BLOCK	statue carbon statue	10
set1	2	covert	1	1	BLOCK	statue carbon statue	13
set1	2	listen	1	2	BLOCK	installed carbon installed	16
set1	2	covert	1	2	BLOCK	installed carbon installed	19
set1	2	listen	1	3	BLOCK	statue statue statue	22
set1	2	covert	1	3	BLOCK	statue statue statue	25
set1	2	rest	1	NaN	BLOCK		28
set1	2	listen	2	1	BLOCK	statue installed carbon	38
set1	2	covert	2	1	BLOCK	statue installed carbon	41
set1	2	listen	2	2	BLOCK	carbon statue installed	44
set1	2	covert	2	2	BLOCK	carbon statue installed	47
set1	2	listen	2	3	BLOCK	carbon carbon carbon	50
set1	2	covert	2	3	BLOCK	carbon carbon carbon	53
set1	2	rest	2	NaN	BLOCK		56
set1	2	listen	3	1	BLOCK	carbon statue statue	66
set1	2	covert	3	1	BLOCK	carbon statue statue	69
set1	2	listen	3	2	BLOCK	statue statue statue	72
set1	2	covert	3	2	BLOCK	statue statue statue	75
set1	2	listen	3	3	BLOCK	carbon statue installed	78
set1	2	covert	3	3	BLOCK	carbon statue installed	81
set1	2	rest	3	NaN	BLOCK		84
set1	2	listen	4	1	BLOCK	installed carbon carbon	94
set1	2	covert	4	1	BLOCK	installed carbon carbon	97
set1	2	listen	4	2	BLOCK	carbon installed carbon	100
set1	2	covert	4	2	BLOCK	carbon installed carbon	103
set1	2	listen	4	3	BLOCK	statue installed carbon	106
set1	2	covert	4	3	BLOCK	statue installed carbon	109
set1	2	rest	4	NaN	BLOCK		112
set1	2	listen	5	1	BLOCK	statue carbon statue	122
set1	2	covert	5	1	BLOCK	statue carbon statue	125
set1	2	listen	5	2	BLOCK	statue installed installed	128
set1	2	covert	5	2	BLOCK	statue installed installed	131
set1	2	listen	5	3	BLOCK	carbon statue statue	134
set1	2	covert	5	3	BLOCK	carbon statue statue	137
set1	2	rest	5	NaN	BLOCK		140
set1	2	listen	6	1	BLOCK	carbon installed statue	150
set1	2	covert	6	1	BLOCK	carbon installed statue	153
set1	2	listen	6	2	BLOCK	statue statue carbon	156
set1	2	covert	6	2	BLOCK	statue statue carbon	159
set1	2	listen	6	3	BLOCK	installed carbon carbon	162
set1	2	covert	6	3	BLOCK	installed carbon carbon	165
set1	2	rest	6	NaN	BLOCK		168
set1	2	listen	7	1	BLOCK	carbon statue installed	178
set1	2	covert	7	1	BLOCK	carbon statue installed	181
set1	2	listen	7	2	BLOCK	statue installed statue	184
set1	2	covert	7	2	BLOCK	statue installed statue	187
set1	2	listen	7	3	BLOCK	carbon carbon installed	190
set1	2	covert	7	3	BLOCK	carbon carbon installed	193
set1	2	rest	7	NaN	BLOCK		196
set1	2	listen	8	1	BLOCK	statue installed installed	206
set1	2	covert	8	1	BLOCK	statue installed installed	209
set1	2	listen	8	2	BLOCK	carbon carbon carbon	212
set1	2	covert	8	2	BLOCK	carbon carbon carbon	215
set1	2	listen	8	3	BLOCK	statue carbon carbon	218
set1	2	covert	8	3	BLOCK	statue carbon carbon	221
set1	2	rest	8	NaN	BLOCK		224
set1	2	listen	9	1	BLOCK	installed installed carbon	234
set1	2	covert	9	1	BLOCK	installed installed carbon	237
set1	2	listen	9	2	BLOCK	carbon installed carbon	240
set1	2	covert	9	2	BLOCK	carbon installed carbon	243
set1	2	listen	9	3	BLOCK	carbon installed installed	246
set1	2	covert	9	3	BLOCK	carbon installed installed	249
set1	2	rest	9	NaN	BLOCK		252
set1	2	listen	10	1	BLOCK	carbon carbon carbon	262
set1	2	covert	10	1	BLOCK	carbon carbon carbon	265
set1	2	listen	10	2	BLOCK	statue statue carbon	268
set1	2	covert	10	2	BLOCK	statue statue carbon	271
set1	2	listen	10	3	BLOCK	statue installed statue	274
set1	2	covert	10	3	BLOCK	statue installed statue	277
set1	2	rest	10	NaN	BLOCK		280
set1	2	listen	11	1	BLOCK	statue statue statue	290
set1	2	covert	11	1	BLOCK	statue statue statue	293
set1	2	listen	11	2	BLOCK	carbon statue installed	296
set1	2	covert	11	2	BLOCK	carbon statue installed	299
set1	2	listen	11	3	BLOCK	carbon statue installed	302
set1	2	covert	11	3	BLOCK	carbon statue installed	305
set1	2	rest	11	NaN	BLOCK		308
set1	2	listen	12	1	BLOCK	installed carbon statue	318
set1	2	covert	12	1	BLOCK	installed carbon statue	321
set1	2	listen	12	2	BLOCK	statue carbon carbon	324
set1	2	covert	12	2	BLOCK	statue carbon carbon	327
set1	2	listen	12	3	BLOCK	statue carbon installed	330
set1	2	covert	12	3	BLOCK	statue carbon installed	333
set1	2	rest	12	NaN	BLOCK		336
set1	2	listen	13	1	BLOCK	statue statue statue	346
set1	2	covert	13	1	BLOCK	statue statue statue	349
set1	2	listen	13	2	BLOCK	statue carbon carbon	352
set1	2	covert	13	2	BLOCK	statue carbon carbon	355
set1	2	listen	13	3	BLOCK	statue statue installed	358
set1	2	covert	13	3	BLOCK	statue statue installed	361
set1	2	rest	13	NaN	BLOCK		364
set1	2	listen	14	1	BLOCK	statue installed installed	374
set1	2	covert	14	1	BLOCK	statue installed installed	377
set1	2	listen	14	2	BLOCK	carbon carbon statue	380
set1	2	covert	14	2	BLOCK	carbon carbon statue	383
set1	2	listen	14	3	BLOCK	carbon installed carbon	386
set1	2	covert	14	3	BLOCK	carbon installed carbon	389
set1	2	rest	14	NaN	BLOCK		392
